Using device: cuda
Random seed set to: 42

Loading causal model (encoder source) from /snel/home/cbwash2/cleo/results/causal_z64_pw200_h128_lr3e4/model.pt...
  n_x=50, n_u=2, z_dim=64, hidden=128, n_layers=2

Loading acausal model from /snel/home/cbwash2/cleo/results/sweep_latent_node_40_10/run_05_z64_h256_l2_lr0.0005_dopri5.pt...
  n_x=50, n_u=2, z_dim=64, hidden=256, n_layers=2

=> Using CAUSAL ODE (drift+control) + decoder

================================================================================
EnKF Causal-Init Sweep: ode_source=causal, obs_delay=10
  6 K × 2 Q × 2 R = 24 configs
  Ensemble size: 64
  Horizon: 200, Stride: 200
  Window batch size: 32
================================================================================

  Trial 40: MSE=0.107056, R²=0.9024
  Trial 41: MSE=0.091050, R²=0.9112
  Trial 42: MSE=0.098280, R²=0.8929
  Trial 43: MSE=0.103665, R²=0.8846
  Trial 44: MSE=0.101124, R²=0.8868
  Trial 45: MSE=0.101993, R²=0.8880
  Trial 46: MSE=0.090733, R²=0.9023
  Trial 47: MSE=0.081461, R²=0.9272
  Trial 48: MSE=0.098145, R²=0.9057
  Trial 49: MSE=0.096332, R²=0.9235
  => R²=0.9025, MSE=0.096984, Time=481.8ms

[17/24] K=100, Q=0.01, R=0.01, delay=10
  Trial 40: MSE=0.136978, R²=0.8752
  Trial 41: MSE=0.120215, R²=0.8828
  Trial 42: MSE=0.120846, R²=0.8683
  Trial 43: MSE=0.128434, R²=0.8571
  Trial 44: MSE=0.131638, R²=0.8527
  Trial 45: MSE=0.125809, R²=0.8618
  Trial 46: MSE=0.114668, R²=0.8766
  Trial 47: MSE=0.102590, R²=0.9083
  Trial 48: MSE=0.129361, R²=0.8757
  Trial 49: MSE=0.135648, R²=0.8923
  => R²=0.8751, MSE=0.124619, Time=455.1ms

[18/24] K=100, Q=0.01, R=0.1, delay=10
  Trial 40: MSE=0.157662, R²=0.8563
  Trial 41: MSE=0.142442, R²=0.8611
  Trial 42: MSE=0.134125, R²=0.8538
  Trial 43: MSE=0.140147, R²=0.8440
  Trial 44: MSE=0.146824, R²=0.8357
  Trial 45: MSE=0.135460, R²=0.8512
  Trial 46: MSE=0.131235, R²=0.8587
  Trial 47: MSE=0.116526, R²=0.8958
  Trial 48: MSE=0.151828, R²=0.8541
  Trial 49: MSE=0.169427, R²=0.8655
  => R²=0.8576, MSE=0.142568, Time=455.8ms

[19/24] K=100, Q=0.1, R=0.01, delay=10
  Trial 40: MSE=0.142781, R²=0.8699
  Trial 41: MSE=0.125696, R²=0.8775
  Trial 42: MSE=0.126602, R²=0.8620
  Trial 43: MSE=0.134857, R²=0.8499
  Trial 44: MSE=0.137764, R²=0.8458
  Trial 45: MSE=0.132401, R²=0.8546
  Trial 46: MSE=0.119595, R²=0.8713
  Trial 47: MSE=0.107675, R²=0.9037
  Trial 48: MSE=0.134662, R²=0.8706
  Trial 49: MSE=0.140230, R²=0.8886
  => R²=0.8694, MSE=0.130226, Time=481.3ms

[20/24] K=100, Q=0.1, R=0.1, delay=10
  Trial 40: MSE=0.141269, R²=0.8712
  Trial 41: MSE=0.124534, R²=0.8786
  Trial 42: MSE=0.125006, R²=0.8638
  Trial 43: MSE=0.132817, R²=0.8522
  Trial 44: MSE=0.135825, R²=0.8480
  Trial 45: MSE=0.130402, R²=0.8568
